Year_Month,Revenue_Target,Conversion_Target
2024-01,883000.0,850.0
2024-02,912000.0,1000.0
2024-03,922000.0,976.0
2024-04,948000.0,970.0
2024-05,951000.0,1034.0
2024-06,983000.0,1110.0
2024-07,1010000.0,1150.0
2024-08,1010000.0,1087.0
2024-09,1056000.0,1038.0
2024-10,1075000.0,1091.0
2024-11,1153000.0,1189.0
2024-12,1128000.0,1183.0
2025-01,1268000.0,1281.0
2025-02,1290000.0,1163.0
2025-03,1174000.0,1362.0
2025-04,1347000.0,1285.0
2025-05,1292000.0,1426.0
2025-06,1336000.0,1296.0
2025-07,1271000.0,1383.0
2025-08,1257000.0,1315.0
2025-09,1401000.0,1496.0
2025-10,1393000.0,1363.0
2025-11,1332000.0,1474.0
2025-12,1461000.0,1414.0
2026-01,1493000.0,1462.0
2026-02,1479000.0,1611.0
2026-03,1479000.0,1598.0
2026-04,1582000.0,1631.0
2026-05,1545000.0,1685.0
2026-06,1592000.0,1825.0
